model,mean_score,variance,std,pass@1
llama3,9.92,375.84449999999987,19.386709364923174,0.19999999999999996
mistral,9.82,367.2245,19.163102567173198,0.19999999999999996
gemma,5.6,94.6125,9.726895702124086,0.19999999999999996
